id,volt_A,deg_A,volt_B,deg_B,volt_C,deg_C
60,1.0625,0.0,1.05,-120.0,1.06875,120.0
611,,,,,0.97811,116.22
632,1.02351,-2.26,1.04256,-121.5,1.01981,118.06
633,1.02061,-2.32,1.04079,-121.53,1.01736,118.07
634,0.99762,-2.9,1.02333,-121.9,0.99949,117.68
645,,,1.03374,-121.66,1.018,118.1
646,,,1.03212,-121.74,1.016,118.15
650,1.0,0.0,1.0,-120.0,1.0,120.0
652,0.98683,-4.81,,,,
671,0.99415,-4.88,1.05373,-121.95,0.98188,116.45
675,0.98795,-5.11,1.05631,-122.12,0.9802,116.48
680,0.99415,-4.88,1.05373,-121.95,0.98188,116.45
684,0.99227,-4.89,,,0.98003,116.36
692,0.99415,-4.88,1.05373,-121.95,0.98188,116.45
