id,volt_A,deg_A,volt_B,deg_B,volt_C,deg_C
60,1.0625,-0.0,1.05,-120.0,1.06875,120.0
611,,,,,0.99362,117.94
632,1.03287,-1.39,1.04454,-120.59,1.02825,118.98
633,1.03048,-1.41,1.04324,-120.59,1.02644,119.02
634,1.01133,-1.63,1.02933,-120.62,1.01229,118.99
645,,,1.0371,-120.72,1.02712,119.08
646,,,1.03594,-120.78,1.02534,119.15
650,1.0,-0.0,1.0,-120.0,1.0,120.0
652,1.00341,-3.15,,,,
671,1.00996,-3.26,1.05679,-120.37,0.99641,118.14
675,1.00494,-3.45,1.06014,-120.5,0.99564,118.21
680,1.00996,-3.26,1.05679,-120.37,0.99641,118.14
684,1.00835,-3.24,,,0.99522,118.06
692,1.00996,-3.26,1.05679,-120.37,0.99641,118.14
